feature1,feature2,feature3
0.609195,0.666667,0.623529
0.586207,0.629630,0.588235
0.689655,0.740741,0.682353
0.609195,0.654321,0.611765
0.563218,0.617284,0.564706
0.609195,0.666667,0.611765
0.643678,0.666667,0.658824
0.678161,0.740741,0.682353
0.735632,0.728395,0.705882
0.724138,0.716049,0.717647
0.586207,0.679012,0.611765
0.689655,0.654321,0.670588
0.643678,0.740741,0.682353
0.712644,0.691358,0.705882
0.747126,0.728395,0.717647
0.609195,0.679012,0.623529
0.689655,0.679012,0.670588
0.758621,0.716049,0.741176
0.804598,0.790123,0.800000
0.770115,0.814815,0.788235
0.701149,0.740741,0.717647
0.770115,0.827160,0.764706
0.827586,0.802469,0.823529
0.850575,0.876543,0.835294
0.839080,0.876543,0.847059
0.781609,0.864198,0.800000
0.735632,0.740741,0.741176
0.678161,0.728395,0.682353
0.747126,0.703704,0.717647
0.816092,0.814815,0.800000
0.885057,0.839506,0.870588
0.862069,0.864198,0.858824
0.896552,0.851852,0.870588
0.919540,0.913580,0.929412
0.908046,0.962963,0.905882
0.827586,0.864198,0.835294
0.804598,0.827160,0.788235
0.747126,0.765432,0.741176
0.816092,0.777778,0.788235
0.816092,0.839506,0.811765
0.632184,0.691358,0.647059
0.701149,0.641975,0.670588
0.689655,0.753086,0.694118
0.758621,0.728395,0.729412
0.816092,0.827160,0.800000
0.758621,0.765432,0.741176
0.643678,0.679012,0.635294
0.712644,0.666667,0.682353
0.804598,0.740741,0.788235
0.885057,0.839506,0.858824
0.931034,0.901235,0.905882
0.931034,0.913580,0.894118
0.896552,0.888889,0.858824
0.816092,0.901235,0.823529
0.747126,0.814815,0.752941
0.758621,0.753086,0.717647
0.747126,0.666667,0.694118
0.804598,0.753086,0.764706
0.781609,0.802469,0.764706
0.758621,0.777778,0.741176
0.781609,0.765432,0.752941
0.770115,0.802469,0.752941
0.827586,0.777778,0.788235
0.701149,0.679012,0.694118
0.678161,0.703704,0.670588
0.724138,0.716049,0.694118
0.850575,0.802469,0.823529
0.770115,0.802469,0.776471
0.873563,0.839506,0.835294
0.885057,0.888889,0.858824
0.850575,0.876543,0.847059
0.885057,0.888889,0.858824
0.666667,0.691358,0.682353
0.655172,0.617284,0.635294
0.770115,0.777778,0.741176
0.816092,0.790123,0.788235
0.873563,0.851852,0.835294
0.793103,0.851852,0.788235
0.804598,0.814815,0.776471
0.712644,0.777778,0.741176
0.770115,0.814815,0.752941
0.770115,0.814815,0.764706
0.747126,0.827160,0.764706
0.689655,0.716049,0.705882
0.632184,0.703704,0.647059
